,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
358,755,18,5,46,3566,31.839285714285715,1.0,9.642857142857142,23,112,8185.369642857142
282,628,28,3,117,3517,19.11413043478261,3.0,30.91304347826087,51,184,8672.133152173914
245,539,32,11,40,3482,30.278260869565216,4.0,13.417391304347825,23,115,8050.084347826088
64,176,17,1,157,3475,15.174672489082969,3.0,9.0,57,229,8945.157205240175
293,647,22,7,37,3383,33.83,3.0,15.14,16,100,7720.259
273,617,25,6,41,3277,23.077464788732396,2.0,7.915492957746479,21,142,7904.102112676057
129,335,22,6,111,3303,16.432835820895523,5.0,13.706467661691542,52,201,8411.45472636816
131,337,17,7,109,3150,11.052631578947368,4.0,8.705263157894738,61,285,8942.311578947369
310,665,13,3,57,3168,25.75609756097561,3.0,5.837398373983739,20,123,7474.450406504065
291,643,27,10,26,3136,35.235955056179776,3.0,19.06741573033708,14,89,7136.966292134831
296,650,27,3,65,3150,22.66187050359712,2.0,-1.5683453237410072,23,139,7566.341007194245
205,474,37,12,147,3129,13.784140969162996,4.0,19.259911894273127,51,227,8239.213656387665
217,488,26,4,120,3079,20.804054054054053,4.0,14.621621621621621,56,148,7419.820945945947
79,248,30,4,139,2986,15.00502512562814,3.0,26.326633165829147,58,199,7707.465829145729
340,730,13,3,27,2841,37.88,2.0,20.64,11,75,6421.604
116,317,13,3,102,2867,21.55639097744361,3.0,14.661654135338345,35,133,6887.230075187969
289,637,12,2,81,2758,19.422535211267604,2.0,16.014084507042252,28,142,6800.491549295775
295,649,25,3,40,2702,30.704545454545453,3.0,20.761363636363637,19,88,6236.743181818182
255,594,12,2,74,2610,21.39344262295082,4.0,21.721311475409838,28,122,6326.231147540984
181,426,14,2,76,2591,18.77536231884058,3.0,20.5,31,138,6439.497826086957
321,678,15,2,88,2589,21.221311475409838,3.0,28.0,44,122,6260.499180327868
366,765,16,6,46,2441,8.908759124087592,5.0,17.343065693430656,46,274,7545.992335766424
304,658,18,3,77,2523,22.936363636363637,3.0,3.109090909090909,51,110,6010.33
218,489,7,3,74,2378,16.4,4.0,16.0,51,145,6086.960000000001
271,613,23,5,42,2329,22.833333333333332,2.0,9.490196078431373,18,102,5608.8421568627455
48,64,19,2,139,2382,14.613496932515337,2.0,18.70552147239264,55,163,6139.516564417178
243,535,22,5,57,2303,27.094117647058823,3.0,21.294117647058822,28,85,5372.320000000001
269,611,9,3,21,2245,49.888888888888886,4.0,12.066666666666666,8,45,4948.653333333333
223,506,10,5,54,2174,9.172995780590718,4.0,23.29113924050633,54,237,6635.088607594937
140,352,11,5,54,2174,10.254716981132075,5.0,11.891509433962264,54,212,6377.142452830189
65,188,10,3,52,2154,24.477272727272727,3.0,23.0,30,88,5121.529545454546
119,321,17,3,69,2136,24.0,2.0,7.067415730337078,31,89,5044.25393258427
112,310,16,4,75,2138,22.989247311827956,4.0,3.225806451612903,35,93,5073.570967741935
208,478,25,8,56,1994,16.211382113821138,1.0,15.121951219512194,28,123,5115.687804878049
97,279,8,2,102,2022,19.07547169811321,2.0,1.0,51,106,4918.467924528302
307,662,12,2,54,1973,21.681318681318682,3.0,23.0,22,91,4782.213186813186
32,46,33,8,59,1951,15.2421875,3.0,21.734375,27,128,5075.40546875
74,241,28,7,65,1939,15.512,4.0,7.488,27,125,5002.4511999999995
256,595,20,4,54,1929,24.73076923076923,3.0,22.064102564102566,19,78,4559.908974358974
195,449,10,4,92,1943,18.504761904761907,3.0,6.076190476190476,28,105,4769.415238095238
124,328,6,2,99,1936,19.168316831683168,3.0,15.485148514851485,52,101,4715.939603960396
436,859,4,2,39,1795,11.580645161290322,3.0,30.993548387096773,39,155,5099.217419354838
165,405,4,1,50,1789,12.870503597122303,5.0,38.0,49,139,4915.383453237409
325,685,6,3,99,1854,18.176470588235293,3.0,20.598039215686274,53,102,4564.237254901961
222,505,8,3,53,1756,9.242105263157894,4.0,20.61578947368421,53,190,5331.91052631579
161,401,20,6,95,1829,15.369747899159664,4.0,1.3109243697478992,50,119,4664.681512605042
173,417,12,2,55,1788,20.318181818181817,3.0,27.0,20,88,4381.986363636363
320,677,20,6,89,1796,14.721311475409836,2.0,31.40983606557377,52,122,4662.977049180328
191,444,17,4,46,1753,21.641975308641975,4.0,18.65432098765432,23,81,4251.0012345679015
312,667,22,4,44,1729,24.35211267605634,2.0,15.253521126760564,22,71,4102.719718309859
94,274,11,1,84,1724,18.945054945054945,3.0,15.0,34,91,4218.05054945055
252,591,11,1,95,1704,17.21212121212121,4.0,26.0,51,99,4245.690909090909
246,540,14,4,38,1652,30.59259259259259,2.0,12.925925925925926,17,54,3797.974074074074
377,780,8,2,45,1584,8.703296703296703,3.0,24.5,45,182,4926.032967032967
146,366,11,1,51,1642,29.321428571428573,4.0,31.0,24,56,3791.8892857142855
440,863,7,2,55,1620,24.923076923076923,4.0,4.0,23,65,3805.2307692307695
281,627,7,2,21,1550,48.4375,2.0,1.0,10,32,3419.29375
125,329,6,1,73,1544,19.794871794871796,3.0,38.0,29,78,3771.2153846153847
149,374,11,2,89,1560,16.774193548387096,3.0,11.53763440860215,52,93,3896.12688172043
412,831,4,1,41,1484,12.366666666666667,3.0,13.0,41,120,4110.7300000000005
238,523,11,2,91,1519,13.094827586206897,4.0,10.586206896551724,42,116,4035.754310344828
393,798,14,2,76,1512,15.272727272727273,4.0,7.0,46,99,3879.7454545454543
317,673,6,2,19,1455,50.172413793103445,3.0,17.93103448275862,10,29,3219.6
253,592,14,2,59,1485,15.631578947368421,2.0,2.389473684210526,23,95,3812.6800000000003
78,246,3,1,50,1454,14.54,3.0,17.0,49,100,3839.1859999999997
322,680,10,1,75,1500,19.23076923076923,2.0,-15.0,30,78,3633.7076923076925
376,779,6,3,47,1422,9.944055944055943,5.0,21.706293706293707,47,143,4208.514685314685
445,870,13,2,45,1401,20.304347826086957,3.0,26.0,19,69,3436.5739130434786
330,693,13,3,19,1371,21.421875,2.0,31.53125,11,64,3381.5046875
103,289,8,2,75,1422,18.23076923076923,2.0,19.5,42,78,3505.607692307692
333,720,13,3,60,1401,16.48235294117647,4.0,27.541176470588237,46,85,3566.7670588235296
283,630,15,4,27,1388,19.82857142857143,3.0,-1.2142857142857142,12,70,3430.6742857142854
276,620,5,1,38,1380,34.5,4.0,19.0,16,40,3131.15
244,538,11,2,39,1361,26.686274509803923,3.0,17.0,18,51,3188.0176470588235
196,451,8,2,41,1357,29.5,3.0,19.17391304347826,19,46,3131.889130434783
248,542,12,4,37,1340,16.54320987654321,3.0,9.185185185185185,20,81,3432.3370370370367
216,487,19,5,72,1351,12.281818181818181,3.0,11.236363636363636,53,110,3670.9427272727276
285,633,12,1,84,1314,15.10344827586207,2.0,-8.0,50,87,3336.593103448276
204,473,5,2,103,1313,12.504761904761905,3.0,12.4,58,105,3494.574285714286
372,775,6,3,47,1238,8.971014492753623,3.0,1.855072463768116,47,138,3772.3579710144923
210,480,3,1,50,1254,12.666666666666666,4.0,5.0,49,99,3418.6000000000004
228,511,2,1,49,1214,12.387755102040817,4.0,3.0,49,98,3329.248979591837
