,publisher_id,num_skus,num_products,num_retailers,total_points,points_mean,importance_mode,remaining_lifecycle_months_mean,num_geographies,num_listings,weighted_score
390,794,2,1,43,407,2.0,5.0,30.0,43,44,-1844.5000000755026
429,851,2,1,41,575,4.0,4.0,23.0,41,41,-1853.0000827987542
316,672,12,2,18,377,6.0,3.0,6.0,11,31,-1875.0
140,352,11,5,54,2174,3.0,5.0,12.0,54,212,-1891.9575043533328
408,826,8,2,12,178,6.0,2.0,-1.0,8,25,-1892.5
68,215,6,2,37,691,6.0,3.0,13.0,20,56,-1908.823763931109
434,857,1,1,39,454,4.0,4.0,21.0,39,39,-1936.000611804641
248,542,12,4,37,1340,8.0,3.0,7.0,20,81,-1937.2588823428846
435,858,2,1,41,575,4.0,4.0,22.0,41,41,-1953.0002250703494
339,729,6,1,50,919,4.0,2.0,31.0,21,50,-1995.5000000277757
305,659,3,2,7,311,30.0,3.0,-14.0,6,7,-2014.5
373,776,2,1,45,414,2.0,4.0,30.0,45,46,-2187.5000000755026
370,772,2,1,45,414,2.0,3.0,30.0,45,46,-2188.5000000755026
386,790,3,1,45,410,2.0,5.0,30.0,45,46,-2197.5000000755026
78,246,3,1,50,1454,3.5,3.0,17.0,49,100,-2227.0334034015805
32,46,33,8,59,1951,3.0,3.0,24.0,27,128,-2261.5000304599594
257,596,7,4,18,336,3.0,3.0,3.0,11,28,-2263.5
134,343,7,2,48,902,6.0,4.0,25.0,24,50,-2274.000011205593
404,819,2,1,39,401,3.0,5.0,18.0,39,40,-2343.5122884247066
287,635,49,9,83,4749,10.0,2.0,10.0,32,210,-2345.6312777774683
382,786,2,1,44,413,2.0,5.0,26.0,44,45,-2410.5000041223075
271,613,23,5,42,2329,24.0,2.0,4.0,18,102,-2418.0
24,33,68,16,171,11681,6.0,3.0,21.0,58,775,-2433.5006118046413
378,781,4,2,47,574,2.5,4.0,28.0,45,48,-2437.0000005578936
362,761,5,2,48,1046,3.0,5.0,20.0,44,51,-2470.5016630574382
272,615,5,1,48,635,4.0,2.0,28.0,20,50,-2501.0000005578936
367,766,2,1,45,414,2.0,5.0,26.0,45,46,-2586.5000041223075
208,478,25,8,56,1994,8.0,1.0,14.0,28,123,-2616.170925255805
40,54,131,14,250,18287,4.5,2.0,28.0,64,974,-2617.5000005578936
368,770,5,3,46,496,2.0,3.0,26.0,44,49,-2623.5000041223075
359,757,2,1,48,458,2.0,4.0,30.0,48,49,-2633.5000000755026
338,728,6,1,53,846,4.0,2.0,31.0,20,54,-2676.000000027776
363,762,2,1,45,414,2.0,3.0,24.0,45,46,-2788.5000304599594
177,421,32,4,82,3914,8.0,3.0,20.0,30,153,-2800.5016630574382
403,815,2,1,44,408,2.0,5.0,22.0,44,45,-2820.500225070349
387,791,3,1,44,408,2.0,5.0,22.0,44,45,-2823.500225070349
160,400,1,1,22,442,6.0,5.0,2.0,22,22,-2831.0
361,760,2,1,45,414,2.0,5.0,23.0,45,46,-2886.500082798754
283,630,15,4,27,1388,24.0,3.0,-9.0,12,70,-2919.0
391,795,2,1,44,408,2.0,5.0,21.0,44,45,-2920.5006118046413
428,850,2,2,40,574,4.0,4.0,10.0,40,40,-3020.6312777774683
288,636,3,1,20,856,30.0,3.0,-12.0,10,20,-3036.0
333,720,13,3,60,1401,8.0,4.0,28.0,46,85,-3095.5000005578936
187,440,2,2,41,495,4.0,4.0,12.0,40,41,-3125.4575043533328
371,774,3,1,46,416,2.0,4.0,22.0,46,47,-3164.500225070349
176,420,2,1,21,334,5.5,4.0,-1.0,16,22,-3174.5
451,880,2,1,44,413,2.0,4.0,18.0,44,45,-3211.5122884247066
308,663,18,6,33,1087,6.0,3.0,5.0,18,69,-3240.5
240,531,5,1,27,926,30.0,3.0,-3.0,14,29,-3246.5
141,354,44,14,154,9913,8.0,4.0,23.0,58,292,-3345.000082798754
384,788,2,1,46,416,2.0,5.0,20.0,46,47,-3360.5016630574382
413,832,1,1,40,455,4.0,4.0,9.0,40,40,-3411.5741367357277
375,778,3,1,46,416,2.0,4.0,19.0,46,47,-3464.504520658814
179,423,10,3,90,4449,16.0,3.0,16.0,34,164,-3471.090799859525
364,763,2,1,45,414,2.0,5.0,17.0,45,46,-3486.5334034015805
153,389,1,1,50,492,3.0,5.0,24.0,50,50,-3518.0000304599594
88,265,152,22,318,24506,5.0,5.0,13.0,68,1298,-3548.823763931109
279,623,9,3,35,1175,6.0,2.0,3.0,17,70,-3576.5
381,785,2,1,48,478,2.0,3.0,20.0,48,49,-3594.5016630574382
369,771,3,1,45,410,2.0,3.0,16.0,44,46,-3600.090799859525
209,479,2,1,50,727,3.5,4.0,18.0,49,50,-3652.0122884247066
420,840,1,1,40,455,4.0,5.0,8.0,40,40,-3681.6705664732253
292,646,5,1,25,580,8.0,3.0,-4.0,13,25,-3707.0
221,504,1,1,49,607,3.0,4.0,18.0,49,49,-3711.0122884247066
379,783,2,1,45,414,2.0,4.0,14.0,45,46,-3788.170925255805
255,594,12,2,74,2610,5.0,4.0,21.0,28,122,-3844.0006118046413
374,777,2,1,45,414,2.0,4.0,13.0,45,46,-3889.323763931109
150,378,5,4,51,799,4.0,5.0,16.0,49,53,-3912.090799859525
301,655,4,1,22,598,8.0,2.0,-12.0,11,23,-3933.0
211,481,2,1,52,779,4.0,4.0,17.0,49,52,-4004.5334034015805
213,483,1,1,49,607,3.0,4.0,15.0,49,49,-4011.2468196081736
405,821,5,2,48,526,2.0,5.0,14.0,46,49,-4114.170925255805
181,426,14,2,76,2591,6.0,3.0,22.0,31,138,-4122.500225070349
125,329,6,1,73,1544,7.0,3.0,38.0,29,78,-4135.5000000000255
60,165,109,9,229,15721,5.0,3.0,27.0,58,855,-4148.5000015165115
402,814,4,1,48,403,2.0,4.0,16.0,44,49,-4151.590799859525
395,801,3,1,44,444,2.0,4.0,9.0,43,45,-4152.574136735728
289,637,12,2,81,2758,8.0,2.0,27.0,28,142,-4177.0000015165115
50,68,6,5,33,716,6.0,4.0,3.0,24,38,-4182.0
183,429,5,1,29,576,6.0,4.0,-3.0,20,30,-4325.0
215,486,1,1,49,607,3.0,4.0,11.0,49,49,-4424.475893998171
109,306,61,7,147,8698,6.0,3.0,21.0,40,422,-4534.000611804641
310,665,13,3,57,3168,24.0,3.0,-8.0,20,123,-4562.5
286,634,3,1,31,908,24.0,3.0,-9.0,15,31,-4599.0
132,338,2,1,57,558,3.0,3.0,24.0,57,57,-4637.00003045996
66,207,4,1,51,566,3.0,3.0,13.0,47,52,-4661.323763931109
145,358,25,4,92,4167,24.0,3.0,14.0,45,143,-4665.670925255805
147,372,7,1,37,1062,8.0,3.0,-2.0,17,37,-4689.0
241,533,67,17,145,8279,6.0,4.0,25.0,51,405,-4719.000011205593
148,373,1,1,50,492,3.0,5.0,12.0,50,50,-4722.957504353333
380,784,7,4,52,802,3.0,5.0,10.0,45,53,-4731.631277777468
